2020-03-14 11:54:23,632 - INFO     - client_gui - Запущено клиентское приложение. IP-адрес сервера: 127.0.0.1, порт сервера: 7777, имя пользователя: test_user_1.
2020-03-14 11:54:23,666 - INFO     - transport - Попытка подключения №1.
2020-03-14 11:54:23,666 - DEBUG    - transport - Установлено соединение с сервером.
2020-03-14 11:54:23,666 - INFO     - transport - Сгенерировано presence сообщение для пользователя test_user_1.
2020-03-14 11:54:23,667 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "connection_init"
2020-03-14 11:54:23,668 - INFO     - decorators - Функция "send_message" из модуля "clt_function" с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65526), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1584176063.36658, 'user': 'test_user_1'}), {})
2020-03-14 11:54:23,711 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "connection_init"
2020-03-14 11:54:23,711 - INFO     - decorators - Функция "get_message" из модуля "clt_function" с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 65526), raddr=('127.0.0.1', 7777)>,), {})
2020-03-14 11:54:23,711 - DEBUG    - transport - Обработка сообщения от сервера {'response': 200}.
2020-03-14 11:54:23,711 - INFO     - transport - Сообщение корректно обработано. Response 200: OK
