2020-03-14 11:44:47,455 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65377)>, {'response': 202, 'data': ['test_4', 'test_2', 'Vasya', 'Petr']}), {})
2020-03-14 11:45:10,733 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:45:10,735 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65377)>,), {})
2020-03-14 11:45:10,736 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'exit', 'time': 1584175480.084424, 'user': 'test_user_1'}
2020-03-14 11:45:10,737 - INFO     - server - Клиент ('127.0.0.1', 65377) отключился от сервера.
2020-03-14 11:54:23,669 - INFO     - server - Установлено соединение с клиентом ('127.0.0.1', 65526)
2020-03-14 11:54:23,709 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:54:23,710 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65526)>,), {})
2020-03-14 11:54:23,710 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'presence', 'time': 1584176063.36658, 'user': 'test_user_1'}
2020-03-14 11:54:23,710 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:54:23,711 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65526)>, {'response': 200}), {})
2020-03-14 11:54:23,711 - INFO     - server - Клиент ('127.0.0.1', 65526) подключился. Отправлен ответ {'response': 200}
2020-03-14 11:54:27,628 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:54:27,628 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65526)>,), {})
2020-03-14 11:54:27,628 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_registered', 'time': 1584176063.366584, 'user': 'test_user_1'}
2020-03-14 11:54:27,660 - DEBUG    - server - Пользователь test_user_1 запросил список зарегистрированных пользователей.
2020-03-14 11:54:27,661 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:54:27,661 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65526)>, {'response': 202, 'data': ['test_user_1', 'test_user_2', 'test_user_3', 'lola', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'Petr', 'Peter', 'Ivan', 'Vasya', 'Ignat']}), {})
2020-03-14 11:54:32,857 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:54:32,858 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65526)>,), {})
2020-03-14 11:54:32,858 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_contacts', 'time': 1584176063.366583, 'user': 'test_user_1'}
2020-03-14 11:54:32,861 - DEBUG    - server - Пользователь test_user_1 запросил список контактов.
2020-03-14 11:54:32,862 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:54:32,863 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65526)>, {'response': 202, 'data': ['test_4', 'test_2', 'Vasya', 'Petr']}), {})
2020-03-14 11:54:37,888 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:54:37,890 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65526)>,), {})
2020-03-14 11:54:37,890 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'exit', 'time': 1584176063.366581, 'user': 'test_user_1'}
2020-03-14 11:54:37,890 - INFO     - server - Клиент ('127.0.0.1', 65526) отключился от сервера.
2020-03-14 11:54:41,060 - INFO     - server - Установлено соединение с клиентом ('127.0.0.1', 65528)
2020-03-14 11:54:41,563 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:54:41,563 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65528)>,), {})
2020-03-14 11:54:41,563 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'presence', 'time': 1584176080.821117, 'user': 'test_user_1'}
2020-03-14 11:54:41,564 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:54:41,564 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65528)>, {'response': 200}), {})
2020-03-14 11:54:41,564 - INFO     - server - Клиент ('127.0.0.1', 65528) подключился. Отправлен ответ {'response': 200}
2020-03-14 11:54:42,076 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:54:42,077 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65528)>,), {})
2020-03-14 11:54:42,077 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_registered', 'time': 1584176080.821121, 'user': 'test_user_1'}
2020-03-14 11:54:42,078 - DEBUG    - server - Пользователь test_user_1 запросил список зарегистрированных пользователей.
2020-03-14 11:54:42,079 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:54:42,080 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65528)>, {'response': 202, 'data': ['test_user_1', 'test_user_2', 'test_user_3', 'lola', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'Petr', 'Peter', 'Ivan', 'Vasya', 'Ignat']}), {})
2020-03-14 11:54:42,581 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:54:42,581 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65528)>,), {})
2020-03-14 11:54:42,581 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_contacts', 'time': 1584176080.821121, 'user': 'test_user_1'}
2020-03-14 11:54:42,584 - DEBUG    - server - Пользователь test_user_1 запросил список контактов.
